id;column_name;column_type;config;created_by;created_date;last_modified_by;last_modified_date
1;auxiliary Money Market Account Cotton;Switzerland Chief;Inlet Rue;Path Assimilated Unions;2019-06-02T23:31:15;Towels;2019-06-02T14:56:27
2;web-readiness;frame multi-byte modular;Electronics;Bedfordshire Strategist;2019-06-02T15:53:09;Massachusetts;2019-06-02T06:14:47
3;Zimbabwe;Bedfordshire;application scale;indigo National;2019-06-02T21:58:41;orchid Tools;2019-06-02T15:34:19
4;New Jersey Gorgeous Soft Fish Mountain;Japan Knoll;Rhode Island Computer;user-centric;2019-06-03T01:05:22;navigate didactic Dynamic;2019-06-02T14:15:49
5;auxiliary Liaison;bus withdrawal Toys;Enterprise-wide;Moldovan Leu;2019-06-03T02:25:42;Incredible multi-byte;2019-06-02T22:36:59
6;payment Re-contextualized Licensed;Producer;SAS parsing;Branding Concrete;2019-06-02T17:08:53;superstructure;2019-06-03T00:48:55
7;deposit;fuchsia Music Salad;withdrawal circuit;generating frictionless solution-oriented;2019-06-02T17:47:20;Alaska solution-oriented;2019-06-02T11:55:19
8;users Guinea;SQL lavender;transmit Wooden COM;Agent Squares;2019-06-02T22:31:51;Avon Bedfordshire;2019-06-02T09:06:04
9;Philippine Peso incentivize;Metal;methodologies Granite Corporate;needs-based Sports Global;2019-06-03T00:04:31;Missouri actuating India;2019-06-02T11:16:03
10;calculating yellow;Wooden;Future;pixel Phased payment;2019-06-02T15:02:20;Virginia;2019-06-02T06:47:13
